SR NO,WORD,MEANING,BREIF,VERB,NOUN,ADJECTIVE,DETERMINER,ADVERB,PRONOUN,PERPOSITION,CONJUNCTION,INTERJECTION
1,stupendous,"so great in size, force, or extent as to elicit awe",Stupendous means amazing or awesome. You just won a million dollars and are donating it to charity? That’s stupendous!,,,so great in size or force or extent as to elicit awe,,,,,,,
2,ersatz,an artificial or inferior substitute or imitation,"The ersatz version of something is an inferior substitute or imitation. You might speak in an ersatz French accent, but you won't fool the Parisian who runs the local French bakery.",,an artificial or inferior substitute or imitation,artificial and inferior,,,,,,,
3,admonish,scold or reprimand; take to task,"To admonish is to scold. If you want to show someone you're not happy with his behavior, admonish him.",warn strongly; put on guard,,,,,,,,,
,,,,take to task,,,,,,,,,
,,,,admonish or counsel in terms of someone's behavior,,,,,,,,,
4,tyro,someone new to a field or activity,"A tyro is a beginner, a new recruit, or someone who is just learning something. If you are the new guy at the job and you're wearing a big badge that says ""Trainee"" on it, you are a tyro.",,someone new to a field or activity,,,,,,,,
5,aphrodisiac,a drug or other agent that stimulates sexual desire,An aphrodisiac is a drug (or something else) that puts people in the mood for sex.,,a drug or other agent that stimulates sexual desire,exciting sexual desire,,,,,,,
6,besmirch,smear so as to make dirty or stained,"To besmirch means to dirty or tarnish, particularly someone's reputation — like when you call Billy a cheater at kickball (even though you know he's just better at bunting than you).",charge falsely or with malicious intent; attack the good name and reputation of someone,,,,,,,,,
,,,,smear so as to make dirty or stained,,,,,,,,,
7,panacea,hypothetical remedy for all ills or diseases,"If someone offers you a pill that promises eternal life, don’t take the pill.  It’s a panacea, a remedy that falsely claims to solve every problem ever.",,hypothetical remedy for all ills or diseases; once sought by the alchemists,,,,,,,,
8,epithet,descriptive word or phrase,"The noun epithet is a descriptive nickname, such as ""Richard the Lionhearted,"" or ""Tommy the Terrible."" When it takes a turn for the worse, it can also be a word or phrase that offends.",,a defamatory or abusive word or phrase,,,,,,,,
,,,,,descriptive word or phrase,,,,,,,,
9,ostracize,expel from a community or group,"If you banish someone or ignore him, you ostracize him. When the Iranian president claimed that the Holocaust was a hoax, he was ostracized by the international community.",avoid speaking to or dealing with,,,,,,,,,
,,,,expel from a community or group,,,,,,,,,
10,placebo,an innocuous or inert medication,"A patient's symptoms sometimes disappear just because they believe that they are being treated. Even when doctors give them a biologically inactive drug, otherwise known as a placebo, the patients swear they are cured.",,(Roman Catholic Church) vespers of the office for the dead,,,,,,,,
,,,,,an innocuous or inert medication; given as a pacifier or to the control group in experiments on the efficacy of a drug,,,,,,,,
11,fiasco,a complete failure or collapse,A fiasco is a disaster. It's not a natural disaster — like an earthquake or a volcano; a fiasco is usually the result of human failure.,,a complete failure or collapse,,,,,,,,
12,dichotomy,a classification into two opposed parts or subclasses,"A dichotomy is an idea or classification split in two. When you point out a dichotomy, you draw a clear distinction between two things.",,being twofold; a classification into two opposed parts or subclasses,,,,,,,,
13,coterie,an exclusive circle of people with a common purpose,"Have you noticed how so many of the best TV shows concentrate on a group of friends who seem to mesh together perfectly, to the exclusion of all others? This, then, is a coterie, an exclusive group with common interests.",,an exclusive circle of people with a common purpose,,,,,,,,
14,euphemism,an inoffensive expression substituted for an offensive one,"Pardon me, but when a polite term is substituted for a blunt, offensive one, you should call it a euphemism.",,an inoffensive or indirect expression that is substituted for one that is considered offensive or too harsh,,,,,,,,
15,zealot,a fervent and even militant proponent of something,"The hamburger zealot was so fanatical about his burgers that he camped outside his favorite fast-food joint for hours every morning, waiting for it to open. And he would never put mustard on them, only ketchup.",,a fervent and even militant proponent of something,,,,,,,,
